Datum,rentevoet
27/12/2022,3.16%
23/12/2022,3.07%
22/12/2022,3.03%
21/12/2022,2.95%
20/12/2022,2.95%
19/12/2022,2.89%
16/12/2022,2.84%
15/12/2022,2.58%
14/12/2022,2.60%
13/12/2022,2.55%
12/12/2022,2.52%
09/12/2022,2.50%
08/12/2022,2.39%
07/12/2022,2.45%
06/12/2022,2.44%
05/12/2022,2.44%
02/12/2022,2.36%
01/12/2022,2.40%
30/11/2022,2.54%
29/11/2022,2.49%
28/11/2022,2.60%
25/11/2022,2.53%
24/11/2022,2.40%
23/11/2022,2.56%
22/11/2022,2.60%
21/11/2022,2.59%
18/11/2022,2.62%
17/11/2022,2.60%
16/11/2022,2.65%
15/11/2022,2.69%
14/11/2022,2.72%
10/11/2022,2.79%
09/11/2022,2.84%
08/11/2022,2.94%
07/11/2022,2.88%
04/11/2022,2.89%
03/11/2022,2.90%
02/11/2022,2.77%
31/10/2022,2.71%
28/10/2022,2.72%
27/10/2022,2.83%
26/10/2022,2.84%
25/10/2022,2.86%
24/10/2022,2.94%
21/10/2022,3.17%
20/10/2022,3.05%
19/10/2022,3.02%
18/10/2022,2.99%
17/10/2022,2.93%
14/10/2022,2.90%
13/10/2022,2.93%
12/10/2022,3.07%
11/10/2022,2.99%
10/10/2022,2.88%
07/10/2022,2.83%
06/10/2022,2.70%
05/10/2022,2.62%
04/10/2022,2.51%
03/10/2022,2.70%
30/09/2022,2.77%
29/09/2022,2.96%
28/09/2022,2.96%
27/09/2022,2.73%
26/09/2022,2.75%
23/09/2022,2.66%
22/09/2022,2.49%
21/09/2022,2.51%
20/09/2022,2.52%
19/09/2022,2.42%
16/09/2022,2.37%
15/09/2022,2.35%
14/09/2022,2.41%
13/09/2022,2.30%
12/09/2022,2.32%
09/09/2022,2.36%
08/09/2022,2.22%
07/09/2022,2.22%
06/09/2022,2.22%
05/09/2022,2.28%
02/09/2022,2.26%
01/09/2022,2.22%
31/08/2022,2.17%
30/08/2022,2.12%
29/08/2022,2.15%
26/08/2022,2.00%
25/08/2022,1.98%
24/08/2022,2.01%
23/08/2022,1.95%
22/08/2022,1.87%
19/08/2022,1.86%
18/08/2022,1.72%
17/08/2022,1.74%
16/08/2022,1.54%
12/08/2022,1.60%
11/08/2022,1.49%
10/08/2022,1.53%
09/08/2022,1.55%
08/08/2022,1.49%
05/08/2022,1.44%
04/08/2022,1.41%
03/08/2022,1.50%
02/08/2022,1.35%
01/08/2022,1.44%
29/07/2022,1.51%
28/07/2022,1.58%
27/07/2022,1.59%
26/07/2022,1.56%
25/07/2022,1.69%
22/07/2022,1.66%
20/07/2022,1.82%
19/07/2022,1.84%
18/07/2022,1.85%
15/07/2022,1.79%
14/07/2022,1.82%
13/07/2022,1.78%
12/07/2022,1.79%
11/07/2022,1.93%
08/07/2022,1.92%
07/07/2022,1.92%
06/07/2022,1.85%
05/07/2022,1.99%
04/07/2022,2.00%
01/07/2022,1.97%
30/06/2022,2.05%
29/06/2022,2.22%
28/06/2022,2.27%
27/06/2022,2.16%
24/06/2022,2.12%
23/06/2022,2.11%
22/06/2022,2.30%
21/06/2022,2.42%
20/06/2022,2.32%
17/06/2022,2.29%
16/06/2022,2.51%
15/06/2022,2.29%
14/06/2022,2.38%
13/06/2022,2.29%
10/06/2022,2.06%
09/06/2022,2.01%
08/06/2022,1.95%
07/06/2022,1.91%
03/06/2022,1.86%
02/06/2022,1.79%
01/06/2022,1.72%
31/05/2022,1.68%
30/05/2022,1.63%
25/05/2022,1.52%
24/05/2022,1.60%
23/05/2022,1.56%
20/05/2022,1.56%
19/05/2022,1.52%
18/05/2022,1.63%
17/05/2022,1.58%
16/05/2022,1.58%
13/05/2022,1.47%
12/05/2022,1.42%
11/05/2022,1.56%
10/05/2022,1.61%
09/05/2022,1.75%
06/05/2022,1.64%
05/05/2022,1.51%
04/05/2022,1.54%
03/05/2022,1.51%
02/05/2022,1.48%
29/04/2022,1.45%
28/04/2022,1.38%
27/04/2022,1.36%
26/04/2022,1.35%
25/04/2022,1.39%
22/04/2022,1.42%
21/04/2022,1.37%
20/04/2022,1.34%
19/04/2022,1.40%
14/04/2022,1.25%
13/04/2022,1.30%
12/04/2022,1.30%
11/04/2022,1.27%
08/04/2022,1.23%
07/04/2022,1.20%
06/04/2022,1.19%
05/04/2022,1.09%
04/04/2022,0.98%
01/04/2022,1.04%
31/03/2022,1.02%
30/03/2022,1.11%
29/03/2022,1.13%
28/03/2022,0.99%
25/03/2022,0.92%
24/03/2022,0.94%
23/03/2022,0.93%
22/03/2022,0.93%
21/03/2022,0.88%
18/03/2022,0.82%
17/03/2022,0.85%
16/03/2022,0.85%
15/03/2022,0.82%
14/03/2022,0.82%
11/03/2022,0.78%
10/03/2022,0.77%
09/03/2022,0.62%
08/03/2022,0.57%
07/03/2022,0.48%
04/03/2022,0.49%
03/03/2022,0.53%
02/03/2022,0.44%
01/03/2022,0.44%
28/02/2022,0.64%
25/02/2022,0.67%
24/02/2022,0.63%
23/02/2022,0.72%
22/02/2022,0.71%
21/02/2022,0.66%
18/02/2022,0.68%
17/02/2022,0.70%
16/02/2022,0.74%
15/02/2022,0.76%
14/02/2022,0.68%
11/02/2022,0.69%
10/02/2022,0.64%
08/02/2022,0.64%
07/02/2022,0.63%
04/02/2022,0.57%
03/02/2022,0.42%
02/02/2022,0.39%
01/02/2022,0.36%
31/01/2022,0.37%
28/01/2022,0.35%
27/01/2022,0.32%
26/01/2022,0.28%
25/01/2022,0.27%
24/01/2022,0.26%
21/01/2022,0.27%
20/01/2022,0.30%
19/01/2022,0.33%
18/01/2022,0.30%
17/01/2022,0.31%
14/01/2022,0.26%
13/01/2022,0.26%
12/01/2022,0.29%
11/01/2022,0.30%
10/01/2022,0.29%
07/01/2022,0.28%
06/01/2022,0.29%
05/01/2022,0.24%
04/01/2022,0.23%
03/01/2022,0.20%
30/12/2021,0.19%
29/12/2021,0.15%
28/12/2021,0.15%
27/12/2021,0.14%
23/12/2021,0.13%
22/12/2021,0.08%
21/12/2021,0.03%
20/12/2021,-0.02%
17/12/2021,-0.03%
16/12/2021,0.03%
15/12/2021,-0.01%
14/12/2021,-0.02%
13/12/2021,-0.02%
10/12/2021,0.00%
09/12/2021,0.00%
08/12/2021,-0.01%
07/12/2021,-0.03%
06/12/2021,-0.03%
03/12/2021,-0.02%
02/12/2021,-0.02%
01/12/2021,0.03%
30/11/2021,0.02%
29/11/2021,0.06%
26/11/2021,0.06%
25/11/2021,0.11%
24/11/2021,0.14%
23/11/2021,0.11%
22/11/2021,0.02%
19/11/2021,0.01%
18/11/2021,0.07%
17/11/2021,0.10%
16/11/2021,0.08%
15/11/2021,0.06%
12/11/2021,0.09%
10/11/2021,0.04%
09/11/2021,0.04%
08/11/2021,0.06%
05/11/2021,0.07%
04/11/2021,0.11%
03/11/2021,0.14%
02/11/2021,0.17%
29/10/2021,0.24%
28/10/2021,0.20%
27/10/2021,0.15%
26/10/2021,0.18%
25/10/2021,0.21%
22/10/2021,0.22%
21/10/2021,0.20%
20/10/2021,0.18%
19/10/2021,0.18%
18/10/2021,0.16%
15/10/2021,0.12%
14/10/2021,0.13%
13/10/2021,0.18%
12/10/2021,0.18%
11/10/2021,0.19%
08/10/2021,0.14%
07/10/2021,0.11%
06/10/2021,0.14%
05/10/2021,0.09%
04/10/2021,0.10%
01/10/2021,0.07%
30/09/2021,0.10%
29/09/2021,0.09%
28/09/2021,0.12%
27/09/2021,0.10%
24/09/2021,0.07%
23/09/2021,0.01%
22/09/2021,-0.02%
21/09/2021,-0.02%
20/09/2021,-0.03%
17/09/2021,0.02%
16/09/2021,0.00%
15/09/2021,-0.04%
14/09/2021,-0.01%
13/09/2021,-0.04%
10/09/2021,-0.05%
09/09/2021,-0.04%
08/09/2021,-0.03%
07/09/2021,-0.02%
06/09/2021,-0.06%
03/09/2021,-0.08%
02/09/2021,-0.09%
01/09/2021,-0.05%
31/08/2021,-0.08%
30/08/2021,-0.09%
27/08/2021,-0.08%
26/08/2021,-0.09%
25/08/2021,-0.13%
24/08/2021,-0.17%
23/08/2021,-0.16%
20/08/2021,-0.19%
19/08/2021,-0.18%
18/08/2021,-0.16%
17/08/2021,-0.18%
16/08/2021,-0.15%
13/08/2021,-0.14%
12/08/2021,-0.15%
11/08/2021,-0.15%
10/08/2021,-0.17%
09/08/2021,-0.17%
06/08/2021,-0.18%
05/08/2021,-0.21%
04/08/2021,-0.19%
03/08/2021,-0.16%
02/08/2021,-0.14%
30/07/2021,-0.14%
29/07/2021,-0.13%
28/07/2021,-0.13%
27/07/2021,-0.13%
26/07/2021,-0.13%
23/07/2021,-0.11%
22/07/2021,-0.12%
20/07/2021,-0.12%
19/07/2021,-0.10%
16/07/2021,-0.07%
15/07/2021,-0.05%
14/07/2021,-0.03%
13/07/2021,-0.03%
12/07/2021,-0.03%
09/07/2021,-0.02%
08/07/2021,-0.03%
07/07/2021,-0.02%
06/07/2021,0.04%
05/07/2021,0.05%
02/07/2021,0.04%
01/07/2021,0.09%
30/06/2021,0.09%
29/06/2021,0.10%
28/06/2021,0.12%
25/06/2021,0.11%
24/06/2021,0.09%
23/06/2021,0.08%
22/06/2021,0.10%
21/06/2021,0.07%
18/06/2021,0.08%
17/06/2021,0.11%
16/06/2021,0.06%
15/06/2021,0.06%
14/06/2021,0.04%
11/06/2021,0.02%
10/06/2021,0.07%
09/06/2021,0.04%
08/06/2021,0.08%
07/06/2021,0.10%
04/06/2021,0.10%
03/06/2021,0.10%
02/06/2021,0.09%
01/06/2021,0.09%
31/05/2021,0.12%
28/05/2021,0.11%
27/05/2021,0.10%
26/05/2021,0.09%
25/05/2021,0.15%
21/05/2021,0.17%
20/05/2021,0.21%
19/05/2021,0.23%
18/05/2021,0.20%
17/05/2021,0.22%
12/05/2021,0.13%
11/05/2021,0.14%
10/05/2021,0.10%
07/05/2021,0.09%
06/05/2021,0.06%
05/05/2021,0.08%
04/05/2021,0.08%
03/05/2021,0.10%
30/04/2021,0.08%
29/04/2021,0.06%
28/04/2021,0.04%
27/04/2021,0.01%
26/04/2021,0.03%
23/04/2021,-0.01%
22/04/2021,0.01%
21/04/2021,0.00%
20/04/2021,0.02%
19/04/2021,0.03%
16/04/2021,-0.02%
15/04/2021,-0.01%
14/04/2021,-0.03%
13/04/2021,-0.01%
12/04/2021,-0.04%
09/04/2021,-0.02%
08/04/2021,-0.07%
07/04/2021,-0.06%
06/04/2021,-0.05%
01/04/2021,-0.06%
31/03/2021,-0.04%
30/03/2021,-0.01%
29/03/2021,-0.09%
26/03/2021,-0.08%
25/03/2021,-0.12%
24/03/2021,-0.09%
23/03/2021,-0.08%
22/03/2021,-0.03%
19/03/2021,-0.04%
18/03/2021,-0.01%
17/03/2021,-0.04%
16/03/2021,-0.09%
15/03/2021,-0.05%
12/03/2021,-0.06%
11/03/2021,-0.10%
10/03/2021,-0.06%
09/03/2021,-0.08%
08/03/2021,-0.05%
05/03/2021,-0.05%
04/03/2021,-0.07%
03/03/2021,-0.07%
02/03/2021,-0.08%
01/03/2021,-0.07%
26/02/2021,0.00%
25/02/2021,0.01%
24/02/2021,-0.05%
23/02/2021,-0.04%
22/02/2021,-0.04%
19/02/2021,-0.06%
18/02/2021,-0.09%
17/02/2021,-0.10%
16/02/2021,-0.13%
15/02/2021,-0.15%
12/02/2021,-0.21%
11/02/2021,-0.23%
10/02/2021,-0.20%
09/02/2021,-0.21%
08/02/2021,-0.21%
05/02/2021,-0.21%
04/02/2021,-0.24%
03/02/2021,-0.25%
02/02/2021,-0.26%
01/02/2021,-0.28%
29/01/2021,-0.27%
28/01/2021,-0.32%
27/01/2021,-0.32%
26/01/2021,-0.32%
25/01/2021,-0.31%
22/01/2021,-0.29%
21/01/2021,-0.30%
20/01/2021,-0.30%
19/01/2021,-0.30%
18/01/2021,-0.31%
15/01/2021,-0.33%
14/01/2021,-0.33%
13/01/2021,-0.29%
12/01/2021,-0.28%
11/01/2021,-0.33%
08/01/2021,-0.33%
07/01/2021,-0.34%
06/01/2021,-0.33%
05/01/2021,-0.36%
04/01/2021,-0.37%
30/12/2020,-0.34%
29/12/2020,-0.35%
28/12/2020,-0.33%
23/12/2020,-0.37%
22/12/2020,-0.37%
21/12/2020,-0.38%
18/12/2020,-0.35%
17/12/2020,-0.36%
16/12/2020,-0.34%
15/12/2020,-0.40%
14/12/2020,-0.39%
11/12/2020,-0.40%
10/12/2020,-0.37%
09/12/2020,-0.37%
08/12/2020,-0.36%
07/12/2020,-0.35%
04/12/2020,-0.34%
03/12/2020,-0.32%
02/12/2020,-0.30%
01/12/2020,-0.34%
30/11/2020,-0.35%
27/11/2020,-0.36%
26/11/2020,-0.36%
25/11/2020,-0.36%
24/11/2020,-0.36%
23/11/2020,-0.35%
20/11/2020,-0.36%
19/11/2020,-0.35%
18/11/2020,-0.35%
17/11/2020,-0.35%
16/11/2020,-0.31%
13/11/2020,-0.34%
12/11/2020,-0.30%
10/11/2020,-0.27%
09/11/2020,-0.33%
06/11/2020,-0.39%
05/11/2020,-0.38%
04/11/2020,-0.37%
03/11/2020,-0.37%
02/11/2020,-0.36%
30/10/2020,-0.37%
29/10/2020,-0.36%
28/10/2020,-0.36%
27/10/2020,-0.34%
26/10/2020,-0.32%
23/10/2020,-0.30%
22/10/2020,-0.33%
21/10/2020,-0.34%
20/10/2020,-0.35%
19/10/2020,-0.34%
16/10/2020,-0.37%
15/10/2020,-0.35%
14/10/2020,-0.34%
13/10/2020,-0.31%
12/10/2020,-0.30%
09/10/2020,-0.31%
08/10/2020,-0.28%
07/10/2020,-0.26%
06/10/2020,-0.28%
05/10/2020,-0.30%
02/10/2020,-0.30%
01/10/2020,-0.26%
30/09/2020,-0.30%
29/09/2020,-0.30%
28/09/2020,-0.26%
25/09/2020,-0.27%
24/09/2020,-0.28%
23/09/2020,-0.27%
22/09/2020,-0.26%
21/09/2020,-0.26%
18/09/2020,-0.27%
17/09/2020,-0.25%
16/09/2020,-0.25%
15/09/2020,-0.21%
14/09/2020,-0.21%
11/09/2020,-0.19%
10/09/2020,-0.17%
09/09/2020,-0.20%
08/09/2020,-0.22%
07/09/2020,-0.19%
04/09/2020,-0.21%
03/09/2020,-0.21%
02/09/2020,-0.19%
01/09/2020,-0.12%
31/08/2020,-0.12%
28/08/2020,-0.14%
27/08/2020,-0.18%
26/08/2020,-0.14%
25/08/2020,-0.16%
24/08/2020,-0.20%
21/08/2020,-0.23%
20/08/2020,-0.23%
19/08/2020,-0.20%
18/08/2020,-0.17%
17/08/2020,-0.15%
14/08/2020,-0.14%
13/08/2020,-0.18%
12/08/2020,-0.19%
11/08/2020,-0.23%
10/08/2020,-0.26%
07/08/2020,-0.24%
06/08/2020,-0.25%
05/08/2020,-0.23%
04/08/2020,-0.25%
03/08/2020,-0.21%
31/07/2020,-0.25%
30/07/2020,-0.24%
29/07/2020,-0.20%
28/07/2020,-0.21%
27/07/2020,-0.19%
24/07/2020,-0.17%
23/07/2020,-0.19%
22/07/2020,-0.19%
20/07/2020,-0.16%
17/07/2020,-0.18%
16/07/2020,-0.16%
15/07/2020,-0.14%
14/07/2020,-0.13%
13/07/2020,-0.13%
10/07/2020,-0.17%
09/07/2020,-0.15%
08/07/2020,-0.15%
07/07/2020,-0.12%
06/07/2020,-0.14%
03/07/2020,-0.13%
02/07/2020,-0.11%
01/07/2020,-0.08%
30/06/2020,-0.16%
29/06/2020,-0.14%
26/06/2020,-0.15%
25/06/2020,-0.14%
24/06/2020,-0.08%
23/06/2020,-0.10%
22/06/2020,-0.12%
19/06/2020,-0.08%
18/06/2020,-0.07%
17/06/2020,-0.04%
16/06/2020,-0.04%
15/06/2020,-0.07%
12/06/2020,-0.03%
11/06/2020,0.00%
10/06/2020,0.06%
09/06/2020,0.03%
08/06/2020,0.04%
05/06/2020,0.06%
04/06/2020,0.02%
03/06/2020,0.02%
02/06/2020,0.01%
29/05/2020,-0.03%
28/05/2020,0.01%
27/05/2020,0.06%
26/05/2020,0.06%
25/05/2020,0.02%
20/05/2020,0.03%
19/05/2020,0.06%
18/05/2020,0.04%
15/05/2020,0.02%
14/05/2020,0.03%
13/05/2020,0.01%
12/05/2020,0.06%
11/05/2020,0.05%
08/05/2020,0.02%
07/05/2020,0.08%
06/05/2020,0.03%
05/05/2020,0.00%
04/05/2020,0.02%
30/04/2020,0.00%
29/04/2020,0.04%
28/04/2020,0.08%
27/04/2020,0.09%
24/04/2020,0.12%
23/04/2020,0.19%
22/04/2020,0.21%
21/04/2020,0.12%
20/04/2020,0.14%
17/04/2020,0.09%
16/04/2020,0.10%
15/04/2020,0.12%
14/04/2020,0.18%
09/04/2020,0.17%
08/04/2020,0.23%
07/04/2020,0.15%
06/04/2020,0.13%
03/04/2020,0.10%
02/04/2020,0.10%
01/04/2020,0.04%
31/03/2020,0.01%
30/03/2020,-0.05%
27/03/2020,-0.03%
26/03/2020,0.16%
25/03/2020,0.22%
24/03/2020,0.19%
23/03/2020,0.12%
20/03/2020,0.16%
19/03/2020,0.24%
18/03/2020,0.41%
17/03/2020,0.29%
16/03/2020,0.14%
13/03/2020,0.00%
12/03/2020,-0.22%
11/03/2020,-0.26%
10/03/2020,-0.22%
09/03/2020,-0.38%
06/03/2020,-0.31%
05/03/2020,-0.28%
04/03/2020,-0.27%
03/03/2020,-0.22%
02/03/2020,-0.27%
28/02/2020,-0.24%
27/02/2020,-0.20%
26/02/2020,-0.18%
25/02/2020,-0.20%
24/02/2020,-0.19%
21/02/2020,-0.17%
20/02/2020,-0.16%
19/02/2020,-0.13%
18/02/2020,-0.15%
17/02/2020,-0.14%
14/02/2020,-0.13%
13/02/2020,-0.13%
12/02/2020,-0.11%
11/02/2020,-0.11%
10/02/2020,-0.12%
07/02/2020,-0.10%
06/02/2020,-0.08%
05/02/2020,-0.08%
04/02/2020,-0.12%
03/02/2020,-0.14%
31/01/2020,-0.13%
30/01/2020,-0.12%
29/01/2020,-0.10%
28/01/2020,-0.11%
27/01/2020,-0.10%
24/01/2020,-0.02%
23/01/2020,-0.01%
22/01/2020,0.02%
21/01/2020,0.06%
20/01/2020,0.07%
17/01/2020,0.05%
16/01/2020,0.05%
15/01/2020,0.06%
14/01/2020,0.09%
13/01/2020,0.09%
10/01/2020,0.08%
09/01/2020,0.06%
08/01/2020,0.05%
07/01/2020,0.04%
06/01/2020,0.03%
03/01/2020,0.03%
02/01/2020,0.12%
30/12/2019,0.11%
27/12/2019,0.07%
23/12/2019,0.06%
20/12/2019,0.08%
19/12/2019,0.09%
18/12/2019,0.03%
17/12/2019,0.02%
16/12/2019,0.00%
13/12/2019,0.05%
12/12/2019,-0.01%
11/12/2019,0.00%
10/12/2019,0.02%
09/12/2019,0.01%
06/12/2019,0.02%
05/12/2019,0.02%
04/12/2019,-0.01%
03/12/2019,0.01%
02/12/2019,0.03%
29/11/2019,-0.05%
28/11/2019,-0.04%
27/11/2019,-0.06%
26/11/2019,-0.03%
25/11/2019,-0.03%
22/11/2019,-0.04%
21/11/2019,-0.02%
20/11/2019,-0.05%
19/11/2019,-0.02%
18/11/2019,-0.02%
15/11/2019,-0.01%
14/11/2019,0.00%
13/11/2019,0.03%
12/11/2019,0.08%
08/11/2019,0.09%
07/11/2019,0.03%
06/11/2019,0.00%
05/11/2019,-0.01%
04/11/2019,-0.04%
31/10/2019,-0.09%
30/10/2019,-0.05%
29/10/2019,-0.04%
28/10/2019,-0.03%
25/10/2019,-0.08%
24/10/2019,-0.08%
23/10/2019,-0.09%
22/10/2019,-0.05%
21/10/2019,-0.03%
18/10/2019,-0.07%
17/10/2019,-0.07%
16/10/2019,-0.12%
15/10/2019,-0.15%
14/10/2019,-0.16%
11/10/2019,-0.13%
10/10/2019,-0.19%
09/10/2019,-0.23%
08/10/2019,-0.24%
07/10/2019,-0.24%
04/10/2019,-0.24%
03/10/2019,-0.24%
02/10/2019,-0.20%
01/10/2019,-0.20%
30/09/2019,-0.24%
27/09/2019,-0.24%
26/09/2019,-0.25%
25/09/2019,-0.27%
24/09/2019,-0.24%
23/09/2019,-0.24%
20/09/2019,-0.16%
19/09/2019,-0.14%
18/09/2019,-0.16%
17/09/2019,-0.14%
16/09/2019,-0.14%
13/09/2019,-0.16%
12/09/2019,-0.31%
11/09/2019,-0.19%
10/09/2019,-0.20%
09/09/2019,-0.24%
06/09/2019,-0.23%
05/09/2019,-0.25%
04/09/2019,-0.28%
03/09/2019,-0.35%
02/09/2019,-0.32%
30/08/2019,-0.34%
29/08/2019,-0.35%
28/08/2019,-0.38%
27/08/2019,-0.32%
26/08/2019,-0.30%
23/08/2019,-0.27%
22/08/2019,-0.28%
21/08/2019,-0.32%
20/08/2019,-0.33%
19/08/2019,-0.30%
16/08/2019,-0.38%
14/08/2019,-0.31%
13/08/2019,-0.25%
12/08/2019,-0.22%
09/08/2019,-0.22%
08/08/2019,-0.25%
07/08/2019,-0.27%
06/08/2019,-0.19%
05/08/2019,-0.17%
02/08/2019,-0.16%
01/08/2019,-0.09%
31/07/2019,-0.09%
30/07/2019,-0.07%
29/07/2019,-0.07%
26/07/2019,-0.05%
25/07/2019,-0.10%
24/07/2019,-0.05%
23/07/2019,-0.01%
22/07/2019,-0.01%
19/07/2019,0.00%
18/07/2019,0.00%
17/07/2019,0.04%
16/07/2019,0.06%
15/07/2019,0.10%
12/07/2019,0.14%
11/07/2019,0.08%
10/07/2019,0.08%
09/07/2019,0.01%
08/07/2019,-0.01%
05/07/2019,-0.04%
04/07/2019,-0.06%
03/07/2019,-0.03%
02/07/2019,0.03%
01/07/2019,0.07%
28/06/2019,0.07%
27/06/2019,0.09%
26/06/2019,0.08%
25/06/2019,0.08%
24/06/2019,0.09%
21/06/2019,0.10%
20/06/2019,0.08%
19/06/2019,0.12%
18/06/2019,0.07%
17/06/2019,0.17%
14/06/2019,0.15%
13/06/2019,0.18%
12/06/2019,0.17%
11/06/2019,0.18%
07/06/2019,0.17%
06/06/2019,0.20%
05/06/2019,0.23%
04/06/2019,0.22%
03/06/2019,0.24%
29/05/2019,0.31%
28/05/2019,0.35%
27/05/2019,0.36%
24/05/2019,0.36%
23/05/2019,0.38%
22/05/2019,0.40%
21/05/2019,0.41%
20/05/2019,0.38%
17/05/2019,0.35%
16/05/2019,0.38%
15/05/2019,0.38%
14/05/2019,0.42%
13/05/2019,0.43%
10/05/2019,0.42%
09/05/2019,0.41%
08/05/2019,0.40%
07/05/2019,0.41%
06/05/2019,0.44%
03/05/2019,0.45%
02/05/2019,0.43%
30/04/2019,0.45%
29/04/2019,0.44%
26/04/2019,0.43%
25/04/2019,0.44%
24/04/2019,0.44%
23/04/2019,0.48%
18/04/2019,0.45%
17/04/2019,0.50%
16/04/2019,0.50%
15/04/2019,0.50%
12/04/2019,0.45%
11/04/2019,0.39%
10/04/2019,0.42%
09/04/2019,0.44%
08/04/2019,0.43%
05/04/2019,0.44%
04/04/2019,0.43%
03/04/2019,0.46%
02/04/2019,0.42%
01/04/2019,0.42%
29/03/2019,0.39%
28/03/2019,0.37%
27/03/2019,0.40%
26/03/2019,0.43%
25/03/2019,0.41%
22/03/2019,0.40%
21/03/2019,0.45%
20/03/2019,0.50%
19/03/2019,0.51%
18/03/2019,0.50%
15/03/2019,0.49%
14/03/2019,0.49%
13/03/2019,0.50%
12/03/2019,0.50%
11/03/2019,0.50%
08/03/2019,0.50%
07/03/2019,0.58%
06/03/2019,0.62%
05/03/2019,0.66%
04/03/2019,0.65%
01/03/2019,0.66%
28/02/2019,0.63%
27/02/2019,0.60%
26/02/2019,0.60%
25/02/2019,0.61%
22/02/2019,0.60%
21/02/2019,0.62%
20/02/2019,0.60%
19/02/2019,0.62%
18/02/2019,0.64%
15/02/2019,0.63%
14/02/2019,0.63%
13/02/2019,0.65%
12/02/2019,0.67%
11/02/2019,0.66%
08/02/2019,0.66%
07/02/2019,0.65%
06/02/2019,0.68%
05/02/2019,0.71%
04/02/2019,0.68%
01/02/2019,0.68%
31/01/2019,0.70%
30/01/2019,0.73%
29/01/2019,0.72%
28/01/2019,0.73%
25/01/2019,0.70%
24/01/2019,0.71%
23/01/2019,0.77%
22/01/2019,0.77%
21/01/2019,0.77%
18/01/2019,0.78%
17/01/2019,0.75%
16/01/2019,0.78%
15/01/2019,0.74%
14/01/2019,0.74%
11/01/2019,0.77%
10/01/2019,0.78%
09/01/2019,0.82%
08/01/2019,0.84%
04/01/2019,0.79%
03/01/2019,0.78%
02/01/2019,0.76%
28/12/2018,0.82%
27/12/2018,0.81%
21/12/2018,0.81%
20/12/2018,0.80%
19/12/2018,0.80%
18/12/2018,0.78%
17/12/2018,0.80%
14/12/2018,0.78%
13/12/2018,0.78%
12/12/2018,0.77%
11/12/2018,0.80%
10/12/2018,0.80%
07/12/2018,0.79%
06/12/2018,0.78%
05/12/2018,0.79%
04/12/2018,0.81%
03/12/2018,0.82%
30/11/2018,0.80%
29/11/2018,0.82%
28/11/2018,0.83%
27/11/2018,0.85%
26/11/2018,0.85%
23/11/2018,0.84%
22/11/2018,0.86%
21/11/2018,0.87%
20/11/2018,0.86%
19/11/2018,0.87%
16/11/2018,0.84%
15/11/2018,0.85%
14/11/2018,0.87%
13/11/2018,0.87%
12/11/2018,0.85%
09/11/2018,0.88%
08/11/2018,0.89%
07/11/2018,0.89%
06/11/2018,0.86%
05/11/2018,0.86%
31/10/2018,0.82%
30/10/2018,0.82%
29/10/2018,0.82%
26/10/2018,0.81%
25/10/2018,0.84%
24/10/2018,0.86%
23/10/2018,0.88%
22/10/2018,0.92%
19/10/2018,0.91%
18/10/2018,0.90%
17/10/2018,0.88%
16/10/2018,0.91%
15/10/2018,0.92%
12/10/2018,0.94%
11/10/2018,0.93%
10/10/2018,0.93%
09/10/2018,0.95%
08/10/2018,0.92%
05/10/2018,0.93%
04/10/2018,0.92%
03/10/2018,0.84%
02/10/2018,0.84%
01/10/2018,0.88%
28/09/2018,0.84%
27/09/2018,0.88%
26/09/2018,0.89%
25/09/2018,0.88%
24/09/2018,0.83%
21/09/2018,0.82%
20/09/2018,0.83%
19/09/2018,0.83%
18/09/2018,0.80%
17/09/2018,0.81%
14/09/2018,0.80%
13/09/2018,0.77%
12/09/2018,0.76%
11/09/2018,0.76%
10/09/2018,0.74%
07/09/2018,0.74%
06/09/2018,0.74%
05/09/2018,0.74%
04/09/2018,0.72%
03/09/2018,0.73%
31/08/2018,0.73%
30/08/2018,0.75%
29/08/2018,0.76%
